'301', '1950-01-01', null, 'lorem Ipsum', 'AMŠIEJUS', '1', '45001010001', 'PANGONIS', null, '1'
'560', '1950-09-17', null, 'lorem Ipsum', 'LEKAVIČIUS', '8', '45001010001', 'PAMERNECKIS', null, '4'
'561', '1950-09-18', null, 'lorem Ipsum', 'KAZLAUSKAS', '9', '45001010001', 'SKUODAS', null, '4'
'562', '1950-09-19', null, 'lorem Ipsum', 'MASALSKAS', '10', '45001010001', 'BRAZIULIS', null, '4'
'563', '1950-09-20', null, 'lorem Ipsum', 'KOVALIOV', '11', '45001010001', 'PUŠKOVAS', null, '4'
'564', '1950-09-21', null, 'lorem Ipsum', 'BARAUSKAS', '12', '45001010001', 'VANSAUSKAS', null, '4'
'565', '1950-09-22', null, 'lorem Ipsum', 'VAITKUS', '13', '45001010001', 'SILKARTAS', null, '4'
'566', '1950-09-23', null, 'lorem Ipsum', 'KRIUGŽDA', '14', '45001010001', 'GRABAUSKAS', null, '4'
'567', '1950-09-24', null, 'lorem Ipsum', 'JUZĖNAS', '15', '45001010001', 'KIRSLYS', null, '4'
'568', '1950-09-25', null, 'lorem Ipsum', 'VIRKŠAS', '16', '45001010001', 'REMEIKA', null, '4'
'577', '1950-10-04', null, 'lorem Ipsum', 'ZDANEVIČ', '1', '45001010001', 'SNAPKAUSKAS', null, '5'
'578', '1950-10-05', null, 'lorem Ipsum', 'GALDIKAS', '2', '45001010001', 'ČITEIKIS', null, '5'
'579', '1950-10-06', null, 'lorem Ipsum', 'MONČAUSKAS', '3', '45001010001', 'ASIJAVIČIUS', null, '5'
'580', '1950-10-07', null, 'lorem Ipsum', 'KAČENAUSKAS', '4', '45001010001', 'STAŠKA', null, '5'
'581', '1950-10-08', null, 'lorem Ipsum', 'SUPRANAVIČIUS', '5', '45001010001', 'KUPŠYS', null, '5'
'582', '1950-10-09', null, 'lorem Ipsum', 'BALANDIS', '6', '45001010001', 'KRIAUČIALIŪNAS', null, '5'
'583', '1950-10-10', null, 'lorem Ipsum', 'MILIAUSKAS', '7', '45001010001', 'GRUŽAUSKAS', null, '5'
'584', '1950-10-11', null, 'lorem Ipsum', 'STANKEVIČ', '8', '45001010001', 'PINCHASEVIČIUS', null, '5'
'585', '1950-10-12', null, 'lorem Ipsum', 'DRUNGYS', '9', '45001010001', 'BATAVIČIUS', null, '5'
'586', '1950-10-13', null, 'lorem Ipsum', 'POVILONIS', '10', '45001010001', 'KRUPIČOVIČ', null, '5'
'587', '1950-10-14', null, 'lorem Ipsum', 'SENKUS', '11', '45001010001', 'MAZIUKAS', null, '5'
'588', '1950-10-15', null, 'lorem Ipsum', 'DIBURYS', '12', '45001010001', 'VAITKEVIČIUS', null, '5'
'589', '1950-10-16', null, 'lorem Ipsum', 'SLIVSKIS', '13', '45001010001', 'BUČIŪNAS', null, '5'
'590', '1950-10-17', null, 'lorem Ipsum', 'ZIV', '14', '45001010001', 'STAKUTIS', null, '5'
'591', '1950-10-18', null, 'lorem Ipsum', 'BAJALIS', '15', '45001010001', 'NORBUTAS', null, '5'
'592', '1950-10-19', null, 'lorem Ipsum', 'JANKAITIS', '16', '45001010001', 'PUČINSKAS', null, '5'
'593', '1950-10-20', null, 'lorem Ipsum', 'KAZLAUSKAS', '17', '45001010001', 'AVIETIAN', null, '5'
'594', '1950-10-21', null, 'lorem Ipsum', 'ŠUCHOVAS', '18', '45001010001', 'VALINSKAS', null, '5'
'595', '1950-10-22', null, 'lorem Ipsum', 'RAUDYS', '19', '45001010001', 'RACIUS', null, '5'
'596', '1950-10-23', null, 'lorem Ipsum', 'KLEVINSKAS', '20', '45001010001', 'STANKŪNAS', null, '5'
'597', '1950-10-24', null, 'lorem Ipsum', 'RADKEVIČ', '21', '45001010001', 'DAUKŠEVIČIUS', null, '5'
'598', '1950-10-25', null, 'lorem Ipsum', 'VISMANTAS', '22', '45001010001', 'MALUIŠKA', null, '5'
'599', '1950-10-26', null, 'lorem Ipsum', 'URBA', '23', '45001010001', 'BALČIŪNAS', null, '5'
'600', '1950-10-27', null, 'lorem Ipsum', 'MILAŠIUS', '24', '45001010001', 'MAČIULSKIS', null, '5'
'601', '1950-10-28', null, 'lorem Ipsum', 'JUŠKA', '25', '45001010001', 'MIKALAUSKAS', null, '5'
'602', '1950-10-29', null, 'lorem Ipsum', 'MACIULEVIČIUS', '26', '45001010001', 'JANKAITIS', null, '5'
'603', '1950-10-30', null, 'lorem Ipsum', 'RUBINSKAS', '27', '45001010001', 'MARTINSONS', null, '5'
'604', '1950-10-31', null, 'lorem Ipsum', 'KOSTYGOVAS', '1', '45001010001', 'LUKOŠEVIČIUS', null, '6'
'605', '1950-11-01', null, 'lorem Ipsum', 'SAKALAUSKAS', '2', '45001010001', 'GRUBYS', null, '6'
'606', '1950-11-02', null, 'lorem Ipsum', 'LEŠČIUS', '3', '45001010001', 'MASKOLIŪNAS', null, '6'
'607', '1950-11-03', null, 'lorem Ipsum', 'VAITIEKUS', '4', '45001010001', 'INDRIŪNAS', null, '6'
'608', '1950-11-04', null, 'lorem Ipsum', 'JAŠMONTAS', '5', '45001010001', 'MACIULEVIČIUS', null, '6'
'623', '1950-11-19', null, 'lorem Ipsum', 'BALIUKONIS', '1', '45001010001', 'BAKUTIS', null, '7'
'624', '1950-11-20', null, 'lorem Ipsum', 'ADOMAITIS', '2', '45001010001', 'URVAKIS', null, '7'
'625', '1950-11-21', null, 'lorem Ipsum', 'MACIUS', '3', '45001010001', 'KUČINSKAS', null, '7'
'626', '1950-11-22', null, 'lorem Ipsum', 'MALDONIS', '4', '45001010001', 'BUTRIMAS', null, '7'
'627', '1950-11-23', null, 'lorem Ipsum', 'GUSTAITIS', '5', '45001010001', 'BLAŽEVIČIUS', null, '7'
'628', '1950-11-24', null, 'lorem Ipsum', 'BARTAŠIUS', '6', '45001010001', 'ŠIMONĖLIS', null, '7'
'629', '1950-11-25', null, 'lorem Ipsum', 'ALŠAUSKAS', '7', '45001010001', 'PALIUŠIS', null, '7'
'630', '1950-11-26', null, 'lorem Ipsum', 'CHRUŠČIOV', '8', '45001010001', 'VYŠNIAUSKAS', null, '7'
'631', '1950-11-27', null, 'lorem Ipsum', 'MEŠKAUSKAS', '9', '45001010001', 'LAUKYS', null, '7'
'632', '1950-11-28', null, 'lorem Ipsum', 'UMBRASAS', '10', '45001010001', 'RUZVELTAS', null, '7'
'768', '1951-04-13', null, 'lorem Ipsum', 'UBARTAS', '1', '45001010001', 'TŪTLYS', null, '8'
'769', '1951-04-14', null, 'lorem Ipsum', 'ČIUŽAS', '2', '45001010001', 'REMEŠKEVIČIUS', null, '8'
'770', '1951-04-15', null, 'lorem Ipsum', 'TACIONIS', '3', '45001010001', 'APERAVIČIUS', null, '8'
'771', '1951-04-16', null, 'lorem Ipsum', 'VAITEKŪNAS', '4', '45001010001', 'KOMAROVSKIS', null, '8'
'772', '1951-04-17', null, 'lorem Ipsum', 'GROMNICKAS', '5', '45001010001', 'KNIUKŠTA', null, '8'
'773', '1951-04-18', null, 'lorem Ipsum', 'RAUKTYS', '6', '45001010001', 'PETRAUSKAS', null, '8'
'774', '1951-04-19', null, 'lorem Ipsum', 'KARPIN', '7', '45001010001', 'STANKŪNAS', null, '8'
'775', '1951-04-20', null, 'lorem Ipsum', 'ROD', '8', '45001010001', 'DUBICKAS', null, '8'
'776', '1951-04-21', null, 'lorem Ipsum', 'DIDŽBALIS', '9', '45001010001', 'ŽALNERIŪNAS', null, '8'
'777', '1951-04-22', null, 'lorem Ipsum', 'MAČIULIS', '10', '45001010001', 'GRUBIN', null, '8'
